Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Gripe nos CSP
2017-01-20;ARS Lisboa e Vale do Tejo;17868.0;7382.0;10486.0;157.0
2017-01-21;ARS Centro;2398.0;2319.0;79.0;74.0
2017-01-21;ARS Lisboa e Vale do Tejo;2510.0;2470.0;40.0;64.0
2017-01-22;ARS Algarve;356.0;263.0;93.0;17.0
2017-01-23;ARS Centro;28490.0;16769.0;11721.0;235.0
2017-01-23;ARS Lisboa e Vale do Tejo;36681.0;16462.0;20219.0;261.0
2017-01-23;ARS Algarve;5454.0;2951.0;2503.0;48.0
2017-01-24;ARS Norte;60120.0;31373.0;28747.0;387.0
2017-01-25;ARS Lisboa e Vale do Tejo;30299.0;12283.0;18016.0;223.0
2017-01-25;ARS Algarve;4434.0;2327.0;2107.0;37.0
2017-01-26;ARS Norte;50146.0;24703.0;25443.0;303.0
2017-01-27;ARS Lisboa e Vale do Tejo;25062.0;10549.0;14513.0;175.0
2017-01-28;ARS Lisboa e Vale do Tejo;2422.0;2394.0;28.0;68.0
2017-01-30;ARS Algarve;5224.0;2762.0;2462.0;33.0
2017-01-31;ARS Alentejo;8809.0;4709.0;4100.0;45.0
2017-02-01;ARS Norte;52460.0;27440.0;25020.0;182.0
2017-02-01;ARS Lisboa e Vale do Tejo;30853.0;13016.0;17837.0;136.0
2017-02-04;ARS Norte;2879.0;2772.0;107.0;59.0
2017-02-05;ARS Lisboa e Vale do Tejo;1612.0;1606.0;6.0;16.0
2017-02-06;ARS Algarve;5338.0;2865.0;2473.0;20.0
2017-02-07;ARS Norte;57995.0;29999.0;27996.0;140.0
2017-02-07;ARS Centro;25692.0;14159.0;11533.0;71.0
2017-02-07;ARS Algarve;5029.0;2583.0;2446.0;28.0
2017-02-08;ARS Algarve;4141.0;1987.0;2154.0;19.0
2017-02-10;ARS Alentejo;6133.0;3361.0;2772.0;15.0
2017-02-10;ARS Algarve;3512.0;1774.0;1738.0;6.0
2017-02-13;ARS Centro;27866.0;16044.0;11822.0;87.0
2017-02-14;ARS Algarve;4903.0;2417.0;2486.0;13.0
2017-02-18;ARS Centro;2077.0;1977.0;100.0;26.0
2017-02-18;ARS Alentejo;884.0;823.0;61.0;6.0
2017-02-19;ARS Norte;2551.0;2551.0;0.0;26.0
2017-02-19;ARS Algarve;284.0;177.0;107.0;2.0
2017-02-21;ARS Alentejo;8996.0;4719.0;4277.0;17.0
2017-02-22;ARS Lisboa e Vale do Tejo;31389.0;12461.0;18928.0;62.0
2017-02-25;ARS Norte;2893.0;2752.0;141.0;31.0
