Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Gripe nos CSP
2017-08-30;ARS Lisboa e Vale do Tejo;25759.0;10713.0;15046.0;11.0
2017-08-30;ARS Alentejo;6676.0;3683.0;2993.0;3.0
2017-08-31;ARS Centro;19915.0;10739.0;9176.0;12.0
2017-09-01;ARS Alentejo;5064.0;2833.0;2231.0;3.0
2017-09-03;ARS Lisboa e Vale do Tejo;1023.0;1023.0;0.0;3.0
2017-09-03;ARS Alentejo;649.0;606.0;43.0;2.0
2017-09-05;ARS Alentejo;7872.0;4254.0;3618.0;5.0
2017-09-05;ARS Algarve;4017.0;2096.0;1921.0;0.0
2017-09-07;ARS Alentejo;6805.0;3646.0;3159.0;2.0
2017-09-08;ARS Centro;15193.0;9029.0;6164.0;4.0
2017-09-10;ARS Algarve;291.0;291.0;0.0;0.0
2017-09-11;ARS Centro;23964.0;13893.0;10071.0;7.0
2017-09-12;ARS Centro;23240.0;12865.0;10375.0;9.0
2017-09-13;ARS Alentejo;7263.0;3886.0;3377.0;2.0
2017-09-14;ARS Norte;46868.0;23759.0;23109.0;23.0
2017-09-14;ARS Alentejo;7335.0;3709.0;3626.0;5.0
2017-09-15;ARS Algarve;3896.0;2093.0;1803.0;3.0
2017-09-16;ARS Alentejo;812.0;751.0;61.0;6.0
2017-09-18;ARS Centro;24998.0;14385.0;10613.0;19.0
2017-09-19;ARS Alentejo;8137.0;4361.0;3776.0;8.0
2017-09-20;ARS Centro;22219.0;12152.0;10067.0;22.0
2017-09-21;ARS Norte;49556.0;24925.0;24631.0;44.0
2017-09-21;ARS Lisboa e Vale do Tejo;27673.0;11153.0;16520.0;19.0
2017-09-22;ARS Norte;41979.0;22438.0;19541.0;47.0
2017-09-22;ARS Alentejo;5477.0;2847.0;2630.0;10.0
2017-09-22;ARS Algarve;3752.0;1903.0;1849.0;3.0
2017-09-23;ARS Algarve;333.0;333.0;0.0;3.0
2017-09-24;ARS Norte;2347.0;2347.0;0.0;29.0
2017-09-27;ARS Centro;22641.0;12207.0;10434.0;27.0
2017-09-29;ARS Lisboa e Vale do Tejo;24298.0;10437.0;13861.0;40.0
2017-10-01;ARS Norte;2444.0;2444.0;0.0;23.0
2017-10-01;ARS Algarve;287.0;285.0;2.0;1.0
2017-10-02;ARS Norte;56544.0;31472.0;25072.0;59.0
2017-10-02;ARS Alentejo;8509.0;4618.0;3891.0;5.0
2017-10-03;ARS Alentejo;9063.0;4846.0;4217.0;19.0
2017-10-03;ARS Algarve;4706.0;2406.0;2300.0;6.0
2017-10-04;ARS Centro;21871.0;12665.0;9206.0;36.0
2017-10-05;ARS Norte;2330.0;2330.0;0.0;17.0
2017-10-06;ARS Alentejo;5783.0;3310.0;2473.0;13.0
2017-10-07;ARS Algarve;354.0;341.0;13.0;0.0
2017-10-08;ARS Norte;2384.0;2384.0;0.0;14.0
2017-10-08;ARS Lisboa e Vale do Tejo;1426.0;1426.0;0.0;20.0
2017-10-10;ARS Lisboa e Vale do Tejo;34906.0;14852.0;20054.0;32.0
2017-10-11;ARS Norte;35783.0;19242.0;16541.0;38.0
2017-10-11;ARS Centro;24214.0;13427.0;10787.0;39.0
2017-10-14;ARS Lisboa e Vale do Tejo;2082.0;2054.0;28.0;12.0
2017-10-14;ARS Alentejo;925.0;828.0;97.0;5.0
2017-10-14;ARS Algarve;360.0;316.0;44.0;5.0
2017-10-15;ARS Lisboa e Vale do Tejo;1301.0;1301.0;0.0;5.0
2017-10-16;ARS Norte;63995.0;35241.0;28754.0;80.0
2017-10-16;ARS Centro;23462.0;13753.0;9709.0;24.0
2017-10-19;ARS Norte;53186.0;26500.0;26686.0;67.0
2017-10-20;ARS Norte;44487.0;23415.0;21072.0;55.0
2017-10-20;ARS Lisboa e Vale do Tejo;25817.0;11009.0;14808.0;39.0
2017-10-21;ARS Centro;2107.0;1975.0;132.0;9.0
2017-10-22;ARS Algarve;239.0;230.0;9.0;5.0
2017-10-24;ARS Alentejo;8639.0;4345.0;4294.0;7.0
2017-10-25;ARS Alentejo;7426.0;3907.0;3519.0;10.0
2017-10-26;ARS Norte;53700.0;26876.0;26824.0;79.0
2017-10-26;ARS Lisboa e Vale do Tejo;33693.0;14049.0;19644.0;43.0
2017-10-26;ARS Algarve;4742.0;2234.0;2508.0;9.0
2017-10-27;ARS Norte;31521.0;15727.0;15794.0;37.0
2017-10-27;ARS Algarve;1955.0;1155.0;800.0;2.0
2017-10-28;ARS Centro;2215.0;2054.0;161.0;21.0
2017-10-28;ARS Lisboa e Vale do Tejo;2236.0;2206.0;30.0;18.0
2017-10-31;ARS Lisboa e Vale do Tejo;31481.0;13016.0;18465.0;33.0
2017-11-02;ARS Centro;21327.0;12202.0;9125.0;35.0
2017-11-03;ARS Norte;41562.0;23262.0;18300.0;59.0
2017-11-03;ARS Alentejo;6223.0;3416.0;2807.0;13.0
2017-11-04;ARS Norte;2691.0;2597.0;94.0;10.0
2017-11-04;ARS Lisboa e Vale do Tejo;1900.0;1867.0;33.0;21.0
2017-11-05;ARS Norte;2269.0;2269.0;0.0;21.0
2017-11-07;ARS Lisboa e Vale do Tejo;33619.0;14228.0;19391.0;51.0
2017-11-07;ARS Alentejo;8719.0;4452.0;4267.0;11.0
2017-11-08;ARS Norte;31901.0;16864.0;15037.0;45.0
2017-11-08;ARS Lisboa e Vale do Tejo;17591.0;7708.0;9883.0;26.0
2017-11-09;ARS Norte;59268.0;31908.0;27360.0;89.0
2017-11-09;ARS Centro;25566.0;14576.0;10990.0;40.0
2017-11-11;ARS Centro;2192.0;2084.0;108.0;10.0
2017-11-12;ARS Norte;2311.0;2311.0;0.0;25.0
2017-11-12;ARS Lisboa e Vale do Tejo;1341.0;1340.0;1.0;13.0
2017-11-14;ARS Centro;25766.0;13799.0;11967.0;31.0
2017-11-16;ARS Centro;23978.0;12797.0;11181.0;42.0
2017-11-16;ARS Alentejo;7806.0;3839.0;3967.0;12.0
2017-11-16;ARS Algarve;4857.0;2351.0;2506.0;4.0
2017-11-19;ARS Centro;1865.0;1848.0;17.0;6.0
2017-11-19;ARS Alentejo;699.0;643.0;56.0;6.0
2017-11-19;ARS Algarve;237.0;161.0;76.0;2.0
2017-11-21;ARS Centro;25370.0;13599.0;11771.0;60.0
2017-11-21;ARS Algarve;5258.0;2660.0;2598.0;18.0
2017-11-23;ARS Norte;52817.0;25979.0;26838.0;126.0
2017-11-23;ARS Lisboa e Vale do Tejo;28279.0;11481.0;16798.0;59.0
2017-11-25;ARS Norte;2954.0;2848.0;106.0;35.0
2017-11-25;ARS Alentejo;905.0;827.0;78.0;4.0
2017-11-25;ARS Algarve;353.0;282.0;71.0;5.0
2017-11-26;ARS Algarve;264.0;264.0;0.0;3.0
2017-11-27;ARS Norte;64185.0;34530.0;29655.0;142.0
2017-11-27;ARS Algarve;5444.0;2818.0;2626.0;19.0
2017-11-29;ARS Alentejo;8430.0;4251.0;4179.0;20.0
2017-11-30;ARS Centro;22198.0;12031.0;10167.0;41.0
2017-12-01;ARS Centro;1661.0;1661.0;0.0;20.0
2017-12-01;ARS Lisboa e Vale do Tejo;1097.0;1097.0;0.0;17.0
2017-12-01;ARS Alentejo;846.0;798.0;48.0;6.0
2017-12-02;ARS Norte;2879.0;2770.0;109.0;61.0
2017-12-02;ARS Alentejo;859.0;819.0;40.0;9.0
2017-12-03;ARS Algarve;269.0;197.0;72.0;1.0
2017-12-04;ARS Norte;61080.0;34923.0;26157.0;191.0
2017-12-05;ARS Centro;22939.0;13156.0;9783.0;76.0
2017-12-07;ARS Norte;46764.0;24230.0;22534.0;185.0
2017-12-08;ARS Norte;2576.0;2576.0;0.0;98.0
2017-12-08;ARS Lisboa e Vale do Tejo;1272.0;1272.0;0.0;28.0
2017-12-08;ARS Algarve;243.0;242.0;1.0;4.0
2017-12-10;ARS Alentejo;780.0;752.0;28.0;13.0
2017-12-12;ARS Alentejo;8909.0;4785.0;4124.0;28.0
2017-12-13;ARS Algarve;4557.0;2348.0;2209.0;7.0
2017-12-14;ARS Centro;23735.0;12739.0;10996.0;90.0
2017-12-14;ARS Lisboa e Vale do Tejo;31578.0;12691.0;18887.0;135.0
2017-12-14;ARS Alentejo;7596.0;3996.0;3600.0;27.0
2017-12-16;ARS Algarve;361.0;326.0;35.0;0.0
2017-12-17;ARS Centro;1859.0;1859.0;0.0;30.0
2017-12-18;ARS Norte;59770.0;32480.0;27290.0;406.0
2017-12-18;ARS Lisboa e Vale do Tejo;35243.0;15229.0;20014.0;161.0
2017-12-18;ARS Alentejo;8398.0;4626.0;3772.0;35.0
2017-12-19;ARS Centro;23872.0;13063.0;10809.0;93.0
2017-12-19;ARS Alentejo;8036.0;4201.0;3835.0;44.0
2017-12-20;ARS Norte;49765.0;25883.0;23882.0;386.0
2017-12-20;ARS Algarve;3720.0;1868.0;1852.0;16.0
2017-12-22;ARS Alentejo;5025.0;2747.0;2278.0;32.0
2017-12-23;ARS Norte;3492.0;3373.0;119.0;195.0
2017-12-24;ARS Centro;1755.0;1755.0;0.0;38.0
2017-12-25;ARS Alentejo;768.0;736.0;32.0;22.0
2017-12-25;ARS Algarve;146.0;125.0;21.0;13.0
2018-01-01;ARS Algarve;156.0;156.0;0.0;1.0
2018-01-04;ARS Lisboa e Vale do Tejo;33949.0;15095.0;18854.0;438.0
2018-01-04;ARS Alentejo;8548.0;4781.0;3767.0;109.0
2018-01-08;ARS Lisboa e Vale do Tejo;38833.0;17416.0;21417.0;595.0
2018-01-08;ARS Algarve;4854.0;2562.0;2292.0;60.0
2018-01-10;ARS Norte;56030.0;29545.0;26485.0;712.0
2018-01-10;ARS Alentejo;8571.0;4854.0;3717.0;90.0
2018-01-12;ARS Algarve;4261.0;2276.0;1985.0;47.0
2018-01-13;ARS Centro;2698.0;2585.0;113.0;167.0
2018-01-13;ARS Lisboa e Vale do Tejo;2734.0;2724.0;10.0;152.0
2018-01-15;ARS Algarve;5461.0;2957.0;2504.0;67.0
2018-01-16;ARS Centro;26633.0;14669.0;11964.0;353.0
2018-01-17;ARS Centro;23641.0;13388.0;10253.0;291.0
2018-01-17;ARS Lisboa e Vale do Tejo;31457.0;13495.0;17962.0;452.0
2018-01-17;ARS Alentejo;8294.0;4676.0;3618.0;113.0
2018-01-19;ARS Algarve;4007.0;2094.0;1913.0;42.0
2018-01-20;ARS Centro;2799.0;2689.0;110.0;150.0
2018-01-20;ARS Lisboa e Vale do Tejo;2882.0;2858.0;24.0;144.0
2018-01-20;ARS Algarve;414.0;273.0;141.0;17.0
2018-01-21;ARS Algarve;404.0;276.0;128.0;32.0
2018-01-24;ARS Norte;55736.0;28318.0;27418.0;522.0
2018-01-24;ARS Centro;25274.0;14158.0;11116.0;320.0
2018-01-25;ARS Centro;24151.0;13187.0;10964.0;301.0
2018-01-27;ARS Centro;2804.0;2704.0;100.0;116.0
2018-01-27;ARS Lisboa e Vale do Tejo;2765.0;2726.0;39.0;156.0
2018-01-27;ARS Alentejo;1021.0;958.0;63.0;41.0
2018-01-28;ARS Alentejo;885.0;848.0;37.0;31.0
2018-01-30;ARS Lisboa e Vale do Tejo;35224.0;14702.0;20522.0;414.0
2018-01-31;ARS Norte;55089.0;27760.0;27329.0;449.0
2018-01-31;ARS Alentejo;8311.0;4577.0;3734.0;82.0
2018-02-02;ARS Algarve;3922.0;2112.0;1810.0;35.0
2018-02-03;ARS Norte;3348.0;3242.0;106.0;140.0
2018-02-03;ARS Centro;2673.0;2584.0;89.0;127.0
2018-02-04;ARS Norte;2946.0;2946.0;0.0;143.0
2018-02-04;ARS Centro;2519.0;2519.0;0.0;121.0
2018-02-05;ARS Norte;63288.0;33718.0;29570.0;542.0
2018-02-06;ARS Centro;25165.0;13602.0;11563.0;278.0
2018-02-08;ARS Norte;52919.0;25900.0;27019.0;389.0
2018-02-08;ARS Lisboa e Vale do Tejo;31382.0;12371.0;19011.0;318.0
2018-02-09;ARS Norte;44357.0;23048.0;21309.0;357.0
2018-02-11;ARS Norte;2844.0;2844.0;0.0;120.0
2018-02-12;ARS Algarve;4474.0;2332.0;2142.0;41.0
2018-02-14;ARS Norte;56751.0;29470.0;27281.0;402.0
2018-02-15;ARS Centro;25492.0;14155.0;11337.0;283.0
2018-02-15;ARS Lisboa e Vale do Tejo;34115.0;14035.0;20080.0;336.0
2018-02-16;ARS Alentejo;7082.0;3913.0;3169.0;62.0
2018-02-17;ARS Norte;3419.0;3327.0;92.0;121.0
2018-02-19;ARS Norte;66675.0;35914.0;30761.0;381.0
2018-02-20;ARS Lisboa e Vale do Tejo;34605.0;13926.0;20679.0;227.0
2018-02-21;ARS Algarve;4741.0;2231.0;2510.0;29.0
2018-02-23;ARS Centro;17179.0;10069.0;7110.0;165.0
2018-02-24;ARS Lisboa e Vale do Tejo;2529.0;2500.0;29.0;136.0
2018-02-24;ARS Alentejo;1037.0;988.0;49.0;22.0
2018-02-24;ARS Algarve;367.0;285.0;82.0;2.0
2018-02-25;ARS Centro;2075.0;2075.0;0.0;78.0
2018-02-25;ARS Lisboa e Vale do Tejo;1784.0;1784.0;0.0;78.0
2018-02-26;ARS Centro;28243.0;15961.0;12282.0;215.0
2018-02-27;ARS Algarve;5251.0;2459.0;2792.0;21.0
2018-02-28;ARS Norte;48470.0;23952.0;24518.0;265.0
2018-03-03;ARS Norte;3016.0;2906.0;110.0;77.0
2018-03-03;ARS Centro;2328.0;2206.0;122.0;46.0
2018-03-03;ARS Algarve;380.0;342.0;38.0;22.0
2018-03-05;ARS Lisboa e Vale do Tejo;36522.0;15388.0;21134.0;202.0
2018-03-05;ARS Alentejo;8845.0;4912.0;3933.0;45.0
2018-03-05;ARS Algarve;5424.0;2834.0;2590.0;24.0
2018-03-07;ARS Centro;23746.0;13015.0;10731.0;141.0
2018-03-08;ARS Norte;50182.0;24548.0;25634.0;248.0
2018-03-08;ARS Centro;22853.0;12205.0;10648.0;132.0
2018-03-08;ARS Algarve;4580.0;2137.0;2443.0;27.0
2018-03-11;ARS Norte;2478.0;2478.0;0.0;49.0
2018-03-12;ARS Norte;61762.0;32908.0;28854.0;255.0
2018-03-12;ARS Centro;26532.0;15193.0;11339.0;130.0
2018-03-12;ARS Algarve;4948.0;2420.0;2528.0;26.0
2018-03-13;ARS Norte;57236.0;29094.0;28142.0;206.0
2018-03-13;ARS Alentejo;8936.0;4714.0;4222.0;36.0
2018-03-14;ARS Algarve;4750.0;2327.0;2423.0;16.0
2018-03-15;ARS Centro;22567.0;11801.0;10766.0;90.0
2018-03-15;ARS Alentejo;7678.0;3900.0;3778.0;22.0
2018-03-16;ARS Lisboa e Vale do Tejo;24070.0;9441.0;14629.0;72.0
2018-03-16;ARS Alentejo;6277.0;3228.0;3049.0;35.0
2018-03-16;ARS Algarve;4033.0;1903.0;2130.0;8.0
2018-03-17;ARS Alentejo;822.0;754.0;68.0;18.0
2018-03-17;ARS Algarve;310.0;281.0;29.0;6.0
2018-03-18;ARS Lisboa e Vale do Tejo;1488.0;1488.0;0.0;37.0
2018-03-19;ARS Norte;60821.0;31818.0;29003.0;186.0
2018-03-19;ARS Centro;26374.0;14783.0;11591.0;79.0
2018-03-20;ARS Algarve;5090.0;2405.0;2685.0;21.0
2018-03-25;ARS Lisboa e Vale do Tejo;1311.0;1311.0;0.0;38.0
2018-03-26;ARS Alentejo;7796.0;4297.0;3499.0;32.0
2018-03-27;ARS Norte;52968.0;26443.0;26525.0;113.0
2018-03-28;ARS Norte;47545.0;23206.0;24339.0;108.0
2018-03-28;ARS Centro;21450.0;11284.0;10166.0;52.0
2018-03-29;ARS Alentejo;5877.0;3009.0;2868.0;14.0
2018-03-29;ARS Algarve;3929.0;1800.0;2129.0;14.0
2018-03-30;ARS Alentejo;808.0;741.0;67.0;6.0
2018-03-31;ARS Norte;2877.0;2775.0;102.0;29.0
2018-03-31;ARS Centro;2110.0;1996.0;114.0;24.0
2018-04-02;ARS Centro;20098.0;11494.0;8604.0;53.0
2018-04-03;ARS Algarve;4921.0;2361.0;2560.0;8.0
2018-04-05;ARS Lisboa e Vale do Tejo;30468.0;12091.0;18377.0;56.0
2018-04-06;ARS Centro;17496.0;10075.0;7421.0;35.0
2018-04-07;ARS Alentejo;843.0;749.0;94.0;12.0
2018-04-10;ARS Centro;25337.0;13803.0;11534.0;45.0
2018-04-10;ARS Algarve;4997.0;2206.0;2791.0;5.0
2018-04-11;ARS Norte;54640.0;27557.0;27083.0;65.0
2018-04-11;ARS Lisboa e Vale do Tejo;32344.0;12823.0;19521.0;42.0
2018-04-12;ARS Norte;52108.0;25330.0;26778.0;80.0
2018-04-13;ARS Lisboa e Vale do Tejo;25105.0;10334.0;14771.0;42.0
2018-04-14;ARS Algarve;333.0;309.0;24.0;0.0
2018-04-15;ARS Centro;1680.0;1680.0;0.0;22.0
2018-04-16;ARS Centro;28175.0;16276.0;11899.0;68.0
2018-04-16;ARS Lisboa e Vale do Tejo;37690.0;15563.0;22127.0;51.0
2018-04-16;ARS Algarve;5657.0;2741.0;2916.0;7.0
2018-04-17;ARS Centro;25072.0;13157.0;11915.0;20.0
2018-04-17;ARS Lisboa e Vale do Tejo;34489.0;13523.0;20966.0;30.0
2018-04-17;ARS Alentejo;8594.0;4359.0;4235.0;13.0
2018-04-18;ARS Norte;51346.0;25516.0;25830.0;44.0
2018-04-20;ARS Norte;37348.0;19839.0;17509.0;57.0
2018-04-20;ARS Lisboa e Vale do Tejo;22565.0;9308.0;13257.0;24.0
2018-04-21;ARS Lisboa e Vale do Tejo;1998.0;1971.0;27.0;21.0
2018-04-23;ARS Centro;27268.0;15917.0;11351.0;41.0
2018-04-23;ARS Lisboa e Vale do Tejo;36189.0;15505.0;20684.0;40.0
2018-04-25;ARS Centro;1796.0;1796.0;0.0;14.0
2018-04-25;ARS Algarve;294.0;247.0;47.0;1.0
2018-04-27;ARS Centro;18062.0;10710.0;7352.0;33.0
2018-04-28;ARS Lisboa e Vale do Tejo;1909.0;1876.0;33.0;19.0
2018-04-30;ARS Norte;54311.0;31065.0;23246.0;42.0
2018-05-01;ARS Centro;1740.0;1739.0;1.0;3.0
2018-05-02;ARS Alentejo;8585.0;5242.0;3343.0;8.0
2018-05-02;ARS Algarve;4702.0;2415.0;2287.0;6.0
2018-05-03;ARS Norte;46701.0;24921.0;21780.0;41.0
2018-05-03;ARS Centro;23441.0;13013.0;10428.0;24.0
2018-05-04;ARS Norte;46514.0;26258.0;20256.0;32.0
2018-05-04;ARS Centro;17971.0;10722.0;7249.0;29.0
2018-05-04;ARS Algarve;4434.0;2164.0;2270.0;2.0
2018-05-07;ARS Centro;28523.0;16322.0;12201.0;26.0
2018-05-09;ARS Norte;33052.0;17348.0;15704.0;21.0
2018-05-11;ARS Alentejo;7060.0;3871.0;3189.0;4.0
2018-05-13;ARS Lisboa e Vale do Tejo;1288.0;1288.0;0.0;8.0
2018-05-13;ARS Algarve;294.0;292.0;2.0;1.0
2018-05-14;ARS Lisboa e Vale do Tejo;40295.0;17336.0;22959.0;28.0
2018-05-15;ARS Centro;27249.0;14733.0;12516.0;20.0
2018-05-15;ARS Alentejo;9232.0;4839.0;4393.0;9.0
2018-05-16;ARS Lisboa e Vale do Tejo;33174.0;13468.0;19706.0;19.0
2018-05-17;ARS Alentejo;8085.0;4184.0;3901.0;9.0
2018-05-19;ARS Centro;2076.0;1947.0;129.0;11.0
2018-05-20;ARS Centro;1597.0;1597.0;0.0;7.0
2018-05-20;ARS Lisboa e Vale do Tejo;1340.0;1340.0;0.0;8.0
2018-05-20;ARS Algarve;283.0;261.0;22.0;1.0
2018-05-21;ARS Algarve;5762.0;2922.0;2840.0;5.0
2018-05-22;ARS Norte;56591.0;28287.0;28304.0;31.0
2018-05-22;ARS Alentejo;8893.0;4566.0;4327.0;7.0
2018-05-22;ARS Algarve;5583.0;2712.0;2871.0;3.0
2018-05-24;ARS Norte;51864.0;25264.0;26600.0;38.0
2018-05-27;ARS Norte;2259.0;2259.0;0.0;15.0
2018-05-28;ARS Alentejo;8741.0;4770.0;3971.0;14.0
2018-05-29;ARS Lisboa e Vale do Tejo;33473.0;13286.0;20187.0;17.0
2018-05-30;ARS Algarve;4714.0;2098.0;2616.0;3.0
2018-05-31;ARS Centro;1701.0;1657.0;44.0;12.0
2018-06-01;ARS Centro;15977.0;9998.0;5979.0;11.0
2018-06-01;ARS Algarve;3491.0;1677.0;1814.0;0.0
2018-06-02;ARS Lisboa e Vale do Tejo;1852.0;1842.0;10.0;16.0
2018-06-02;ARS Alentejo;758.0;691.0;67.0;2.0
2018-06-04;ARS Centro;27814.0;16232.0;11582.0;24.0
2018-06-05;ARS Algarve;5211.0;2509.0;2702.0;2.0
2018-06-06;ARS Centro;23570.0;13085.0;10485.0;27.0
2018-06-07;ARS Norte;49476.0;24282.0;25194.0;21.0
2018-06-07;ARS Centro;22502.0;11996.0;10506.0;20.0
2018-06-07;ARS Lisboa e Vale do Tejo;29703.0;11381.0;18322.0;24.0
2018-06-09;ARS Algarve;306.0;299.0;7.0;0.0
2018-06-10;ARS Centro;1654.0;1654.0;0.0;4.0
2018-06-10;ARS Lisboa e Vale do Tejo;1185.0;1185.0;0.0;5.0
2018-06-11;ARS Lisboa e Vale do Tejo;35783.0;15420.0;20363.0;34.0
2018-06-11;ARS Alentejo;8528.0;4719.0;3809.0;9.0
2018-06-11;ARS Algarve;5080.0;2456.0;2624.0;2.0
2018-06-12;ARS Norte;56575.0;28943.0;27632.0;30.0
2018-06-12;ARS Lisboa e Vale do Tejo;32972.0;13339.0;19633.0;25.0
2018-06-13;ARS Centro;22213.0;11786.0;10427.0;8.0
2018-06-13;ARS Algarve;4757.0;2116.0;2641.0;6.0
2018-06-14;ARS Norte;49764.0;24398.0;25366.0;25.0
2018-06-14;ARS Lisboa e Vale do Tejo;30524.0;11746.0;18778.0;19.0
2018-06-14;ARS Alentejo;7243.0;3727.0;3516.0;1.0
2018-06-15;ARS Algarve;2763.0;1336.0;1427.0;0.0
2018-06-16;ARS Alentejo;803.0;728.0;75.0;5.0
2018-06-17;ARS Alentejo;701.0;665.0;36.0;6.0
2018-06-18;ARS Lisboa e Vale do Tejo;36170.0;15233.0;20937.0;18.0
2018-06-20;ARS Centro;21068.0;11199.0;9869.0;12.0
2018-06-20;ARS Alentejo;7747.0;4085.0;3662.0;5.0
2018-06-20;ARS Algarve;4594.0;2062.0;2532.0;4.0
2018-06-21;ARS Algarve;4832.0;2085.0;2747.0;3.0
2018-06-22;ARS Lisboa e Vale do Tejo;24653.0;10101.0;14552.0;8.0
2018-06-23;ARS Centro;2090.0;1954.0;136.0;3.0
2018-06-23;ARS Algarve;304.0;236.0;68.0;1.0
2018-06-24;ARS Alentejo;803.0;724.0;79.0;2.0
2018-06-25;ARS Norte;56103.0;29824.0;26279.0;22.0
2018-06-25;ARS Centro;24494.0;14005.0;10489.0;13.0
2018-06-27;ARS Centro;21387.0;11735.0;9652.0;9.0
2018-06-27;ARS Algarve;4473.0;1960.0;2513.0;3.0
2018-06-28;ARS Centro;19671.0;10694.0;8977.0;14.0
2018-06-28;ARS Alentejo;6661.0;3434.0;3227.0;4.0
2018-06-29;ARS Norte;35691.0;18843.0;16848.0;15.0
2018-06-29;ARS Algarve;3547.0;1544.0;2003.0;0.0
2018-06-30;ARS Alentejo;860.0;771.0;89.0;0.0
2018-07-01;ARS Algarve;307.0;265.0;42.0;0.0
2018-07-02;ARS Alentejo;7775.0;4527.0;3248.0;7.0
2018-07-02;ARS Algarve;5144.0;2608.0;2536.0;2.0
2018-07-03;ARS Alentejo;7762.0;4332.0;3430.0;3.0
2018-07-04;ARS Norte;49619.0;25607.0;24012.0;14.0
2018-07-05;ARS Norte;47769.0;23765.0;24004.0;10.0
2018-07-05;ARS Alentejo;7140.0;3785.0;3355.0;2.0
2018-07-06;ARS Norte;39857.0;20561.0;19296.0;7.0
2018-07-06;ARS Centro;16535.0;9627.0;6908.0;7.0
2018-07-07;ARS Alentejo;809.0;767.0;42.0;0.0
2018-07-07;ARS Algarve;361.0;355.0;6.0;0.0
2018-07-08;ARS Norte;2083.0;2083.0;0.0;5.0
2018-07-10;ARS Alentejo;7940.0;4246.0;3694.0;6.0
2018-07-12;ARS Lisboa e Vale do Tejo;29432.0;11473.0;17959.0;11.0
2018-07-13;ARS Norte;41123.0;21169.0;19954.0;10.0
2018-07-14;ARS Alentejo;822.0;743.0;79.0;4.0
2018-07-14;ARS Algarve;307.0;267.0;40.0;0.0
2018-07-15;ARS Norte;2232.0;2232.0;0.0;8.0
2018-07-16;ARS Algarve;4735.0;2299.0;2436.0;1.0
2018-07-17;ARS Lisboa e Vale do Tejo;30858.0;12488.0;18370.0;6.0
2018-07-19;ARS Norte;46943.0;23298.0;23645.0;21.0
2018-07-19;ARS Centro;20426.0;10985.0;9441.0;7.0
2018-07-22;ARS Alentejo;700.0;648.0;52.0;0.0
2018-07-23;ARS Lisboa e Vale do Tejo;31508.0;13518.0;17990.0;6.0
2018-07-24;ARS Norte;50701.0;26212.0;24489.0;20.0
2018-07-24;ARS Lisboa e Vale do Tejo;29801.0;12373.0;17428.0;13.0
2018-07-24;ARS Alentejo;7247.0;3838.0;3409.0;3.0
2018-07-26;ARS Centro;20679.0;11345.0;9334.0;8.0
2018-07-26;ARS Alentejo;6476.0;3516.0;2960.0;1.0
2018-07-28;ARS Norte;2541.0;2438.0;103.0;4.0
2018-07-28;ARS Alentejo;887.0;804.0;83.0;1.0
2018-07-28;ARS Algarve;394.0;339.0;55.0;4.0
2018-07-29;ARS Centro;1755.0;1755.0;0.0;7.0
2018-07-30;ARS Norte;53464.0;29346.0;24118.0;13.0
2018-08-01;ARS Centro;19959.0;11384.0;8575.0;7.0
2018-08-02;ARS Centro;18987.0;10346.0;8641.0;6.0
2018-08-02;ARS Algarve;3934.0;1821.0;2113.0;3.0
2018-08-03;ARS Norte;34855.0;18041.0;16814.0;6.0
2018-08-06;ARS Norte;51161.0;27889.0;23272.0;6.0
2018-08-08;ARS Centro;19937.0;11448.0;8489.0;7.0
2018-08-12;ARS Lisboa e Vale do Tejo;1200.0;1200.0;0.0;4.0
2018-08-12;ARS Alentejo;720.0;673.0;47.0;2.0
2018-08-17;ARS Algarve;3335.0;1798.0;1537.0;3.0
2018-08-18;ARS Norte;2514.0;2410.0;104.0;3.0
2018-08-18;ARS Centro;2288.0;2169.0;119.0;2.0
2018-08-19;ARS Norte;2046.0;2046.0;0.0;9.0
2018-08-19;ARS Algarve;277.0;233.0;44.0;0.0
2018-08-23;ARS Norte;42780.0;22456.0;20324.0;10.0
2018-08-23;ARS Lisboa e Vale do Tejo;25422.0;10412.0;15010.0;7.0
2018-08-24;ARS Centro;15863.0;9507.0;6356.0;11.0
2018-08-26;ARS Norte;2058.0;2058.0;0.0;3.0
2018-08-28;ARS Lisboa e Vale do Tejo;27876.0;11649.0;16227.0;9.0
2018-08-28;ARS Algarve;4505.0;2131.0;2374.0;4.0
2018-08-30;ARS Norte;42836.0;22202.0;20634.0;11.0
2018-08-31;ARS Norte;36156.0;19397.0;16759.0;17.0
2018-08-31;ARS Algarve;3470.0;1675.0;1795.0;4.0
2018-09-01;ARS Algarve;323.0;295.0;28.0;0.0
2018-09-02;ARS Alentejo;710.0;691.0;19.0;0.0
2018-09-05;ARS Norte;46268.0;24729.0;21539.0;17.0
2018-09-06;ARS Lisboa e Vale do Tejo;26780.0;11181.0;15599.0;13.0
2018-09-07;ARS Centro;15549.0;9314.0;6235.0;4.0
2018-09-08;ARS Norte;2335.0;2221.0;114.0;5.0
2018-09-08;ARS Alentejo;799.0;693.0;106.0;0.0
2018-09-08;ARS Algarve;319.0;314.0;5.0;0.0
2018-09-09;ARS Norte;1987.0;1987.0;0.0;3.0
